Name,Height (meters),Height (feet),Latitude,Longitude
Redcloud Peak,4277.0,14032,37.94083,-107.422002
Galeras,4276.0,14029,1.221111,-77.359167
Mount Langley,4275.0,14026,36.523269,-118.238977
Finsteraarhorn,4274.0,14022,46.537472,8.126028
Pyramid Peak (Colorado),4273.0,14019,39.071684,-106.950165
Mount Tyndall,4273.0,14019,36.655744,-118.337273
Wilson Peak,4272.0,14016,37.860272,-107.984791
Mount Muir,4272.0,14016,36.564739,-118.291329
San Luis Peak,4271.0,14012,37.986776,-106.931258
Wetterhorn Peak,4271.0,14012,38.06055,-107.510892
Middle Palisade,4271.0,14012,37.07029,-118.469138
Huron Peak,4269.0,14006,38.945527,-106.438079
Mount of the Holy Cross,4269.0,14006,39.466829,-106.481687
Thunderbolt Peak,4268.0,14003,37.097989,-118.517606
Sunshine Peak,4268.0,14003,37.922775,-107.425613
Mount Strickland,4260.0,13976,61.235556,-140.675
Pigeon Peak,4259.0,13973,37.632499,-107.646172
Mount Kennedy,4250.0,13944,60.341167,-138.966333
Pointe Bayeux,4258.0,13970,45.846389,6.843889
Mont Blanc du Tacul,4248.0,13937,45.856389,6.887778
Stecknadelhorn,4241.0,13914,46.111528,7.859667
Avalanche Peak (Yukon),4228.0,13871,61.24,-140.758889
Castor ,4223.0,13855,45.922222,7.792778
Zinalrothorn,4221.0,13848,46.064722,7.69
Volcán Tajumulco,4220.0,13845,15.043685,-91.903308
Hohberghorn,4219.0,13842,46.112694,7.853861
Turret Peak (Colorado),4217.0,13835,37.627499,-107.639783
Mount Darwin (California),4216.0,13832,37.167022,-118.672388
Mount Hayes,4216.0,13832,63.620833,-146.715278
Sacabaya,4215.0,13829,-18.616667,-68.75
Grandes Jorasses,4208.0,13806,45.868889,6.988056
Gannett Peak,4208.0,13806,43.184202,-109.654234
Mauna Kea,4207.0,13802,19.820667,-155.468056
Alphubel,4206.0,13799,46.062939,7.863911
Cofre de Perote,4201.0,13783,19.492,-97.15
Zard-Kuh,4200.0,13780,32.364444,50.0775
Shah Alborz,4200.0,13780,36.316667,50.75
Rimpfischhorn,4199.0,13776,46.023056,7.883889
Grand Teton,4199.0,13776,43.741208,-110.802414
Mount Cook (Saint Elias s),4196.0,13766,60.186389,-139.976667
Aletschhorn,4192.0,13753,46.4651,7.993661
Strahlhorn,4190.0,13747,46.013222,7.90175
Fremont Peak (Wyoming),4189.0,13743,43.124722,-109.618056
Mount Warren,4182.0,13720,43.163611,-109.628056
Mount Sidley,4181.0,13717,-77.033333,-126.1
Mount Abbot,4180.0,13714,37.386324,-118.784843
Dent d'Hérens,4171.0,13684,45.970056,7.605083
Mauna Loa,4171.0,13684,19.479444,-155.602778
Toubkal,4167.0,13671,31.059167,-7.915833
Admiralty s,4165.0,13665,-71.783333,168.75
Breithorn,4164.0,13661,45.941111,7.747222
Jungfrau,4158.0,13642,46.536806,7.962639
Bishorn,4153.0,13625,46.117778,7.714722
Mount Helen (Wyoming),4151.0,13619,43.151111,-109.631111
El Mela,4150.0,13615,-28.8675,-67.1275
Mount Quincy Adams (Fairweather Range),4150.0,13615,58.908889,-137.451389
Doublet Peak,4145.0,13599,43.163333,-109.629722
Turret Peak (Wyoming),4145.0,13599,43.164722,-109.618889
Mount Parnassus (Colorado),4137.0,13573,39.719987,-105.822509
Mount Sacagawea,4136.0,13570,43.136667,-109.625
Mount Dubois,4135.0,13566,37.783333,-118.343056
Mount Muhabura,4127.0,13540,-1.383333,29.666667
Kings Peak (Utah),4125.0,13533,40.776382,-110.372815
Aiguille Verte,4122.0,13524,45.934722,6.97
Mount Sarawaget,4121.0,13520,-6.310833,147.09
Mount Dickerson,4120.0,13517,-84.333333,167.133333
"Jackson Peak (Fremont County, Wyoming)",4120.0,13517,43.119444,-109.603333
Cilo Dağı,4116.0,13504,43.119444,-109.603333
Mount Woodrow Wilson,4115.0,13501,43.166944,-109.651667
Aiguilles du Diable,4114.0,13497,45.854722,6.890278
Bastion Peak,4113.0,13494,43.206111,-109.665
Aiguille Blanche de Peuterey,4112.0,13491,45.824444,6.882778
Mönch,4107.0,13474,46.558333,7.997222
Mount Febbas,4105.0,13468,43.176111,-109.601667
Barre des Écrins,4102.0,13458,44.9225,6.36
Mount Aragats,4095.0,13435,40.533333,44.2
Mount Cameroon,4095.0,13435,4.216667,9.1725
Mount Kinabalu,4095.0,13435,6.075,116.558611
"Grizzly Peak (Summit County, Colorado)",4093.0,13428,39.644431,-105.848622
Pollux ,4092.0,13425,45.927778,7.785278
Kīlauea,4091.0,13422,19.421097,-155.286762
Mount Wade,4085.0,13402,-84.85,-174.316667
Nairamdal Peak,4082.0,13392,49.1675,87.812222
Mount Victoria (Papua New Guinea),4072.0,13360,-8.8925,147.533333
Gran Paradiso,4061.0,13323,45.514444,7.269722
Ober Gabelhorn,4053.0,13297,46.038333,7.667778
Piz Bernina,4049.0,13284,46.382339,9.908061
Grosses Fiescherhorn,4049.0,13284,46.551389,8.061111
Grünhorn,4043.0,13264,46.531889,8.077722
Lauteraarhorn,4042.0,13261,46.583389,8.128417
Dent du Géant,4035.0,13238,45.861944,6.951667
Mount Silverthrone (Alaska),4030.0,13222,63.115806,-150.676306
Mount Sniktau,4034.0,13235,39.67832,-105.857789
Azufral,4030.0,13222,1.083333,-77.683333
Allalinhorn,4027.0,13212,46.046139,7.894806
Wind River Peak,4021.0,13192,42.708611,-109.128056
Latsga,4019.0,13186,43.1755,42.8625
Weissmies,4017.0,13179,46.127778,8.011944
Mount Waddington,4016.0,13176,51.373611,-125.263333
Mount Marcus Baker,4016.0,13176,61.437778,-147.750556
Conejos Peak,4015.0,13173,37.288735,-106.570926
Dent du Géant,4013.0,13166,45.861944,6.951667
Red Slate ,4013.0,13166,37.507549,-118.869294
Cloud Peak,4013.0,13166,44.3821,-107.173914
Wheeler Peak (New Mexico),4012.0,13163,36.556855,-105.416947
Lagginhorn,4010.0,13156,46.157222,8.003056
Twilight Peak,4010.0,13156,37.663054,-107.727008
Francs Peak,4009.0,13153,43.961389,-109.330833
Mount Walter (New Mexico),4005.0,13140,36.562252,-105.414452
Les Droites,4000.0,13123,45.933056,6.989167
Piz Zupò,3995.0,13107,46.368333,9.931111
Truchas Peak,3994.0,13104,35.962526,-105.644965
Fletschhorn,3993.0,13100,46.167778,8.003056
Mount Albert Edward (Papua New Guinea),3990.0,13091,-8.411,147.404
Meije,3987.0,13081,45.004722,6.308611
Wheeler Peak (Nevada),3982.0,13064,38.986057,-114.313331
Mount Dana,3981.0,13061,37.899902,-119.221093
Acatenango,3976.0,13045,14.500833,-90.875833
Piz Roseg,3973.0,13035,46.37375,9.883083
Piz Scerscen,3971.0,13028,46.37825,9.900583
Eiger,3967.0,13015,46.5775,8.005278
Tochal,3964.0,13005,35.884444,51.419167
Black Tooth ,3964.0,13005,44.402778,-107.175556
Grand Cornier,3962.0,12999,46.052222,7.611667
Mount Owen (Wyoming),3957.0,12982,43.746944,-110.7975
Ailefroide,3954.0,12972,44.885,6.356111
Mount Robson,3954.0,12972,53.110278,-119.156667
Descabezado Grande,3953.0,12969,-35.583333,-70.75
Yu Shan,3952.0,12966,23.47,120.957222
Mont Pelvoux,3946.0,12946,44.898056,6.393333
Mount Julian (Colorado),3940.0,12927,40.371095,-105.757508
Mount Khalatsa,3938.0,12920,42.598889,43.836667
Ajusco,3930.0,12894,19.2075,-99.258056
Mount Erciyes,3916.0,12848,38.531,35.447
Bomber ,3914.0,12841,44.370257,-107.15577
Pic Sans Nom,3919.0,12858,44.893333,6.383333
Ortler,3905.0,12812,46.508889,10.545
Piz Palü,3905.0,12812,46.378333,9.960556
Middle Teton,3903.0,12805,43.73,-110.811389
Aiguille d'Argentière,3902.0,12802,45.959761,7.020319
Granite Peak (Montana),3901.0,12799,45.163427,-109.807456
Mount Gibbs,3893.0,12772,37.87715,-119.211816
Mount Crillon,3879.0,12726,58.662778,-137.171944
Mont Blanc de Cheilon,3870.0,12697,45.993083,7.417139
Aiguille du Goûter,3863.0,12674,45.850556,6.831111
Borah Peak,3861.0,12667,44.137389,-113.781101
Grande Casse,3855.0,12648,45.405278,6.8275
Humphreys Peak,3852.0,12638,35.346321,-111.678
Santa Fe Baldy,3847.0,12621,35.832199,-105.758074
Aiguille du Midi,3842.0,12605,45.878611,6.887222
Mount Moran,3842.0,12605,43.835278,-110.776389
Monte Viso,3841.0,12602,44.6675,7.091667
Sauyr Zhotasy,3840.0,12598,47.049167,85.566667
Mount Saramati,3826.0,12552,25.74,95.0375
Nesthorn,3822.0,12539,46.413333,7.925833
Mount Chirripó,3820.0,12533,9.484083,-83.488667
Aiguille des Glaciers,3816.0,12520,45.778611,6.8025
South Teton,3814.0,12513,43.718611,-110.818611
Mount Kerinci,3800.0,12467,-1.696667,101.265556
Grossglockner,3798.0,12461,47.074867,12.69525
Pigne d'Arolla,3796.0,12454,45.991111,7.455
Mount Erebus,3794.0,12448,-77.529722,167.153333
Mont Pourri,3779.0,12398,45.528333,6.86
Mount Fuji,3776.0,12388,35.360556,138.7275
Wildspitze,3774.0,12382,46.885278,10.867222
Greenhorn ,3763.0,12346,37.881462,-105.013326
Volcán de Fuego,3763.0,12346,14.474722,-90.880833
Mount Villard,3760.0,12336,45.149444,-109.832222
Teewinot ,3757.0,12326,43.747222,-110.780278
Aiguille du Dru,3754.0,12316,45.932778,6.956389
Aoraki / Mount Cook,3754.0,12316,-43.595,170.141944
Pointe de Charbonnel,3752.0,12310,45.280833,7.055556
Piz Morteratsch,3751.0,12306,46.402778,9.901944
Sawtooth ,3750.0,12303,46.07,-121.771
Mount Davis (California),3750.0,12303,37.714655,-119.219588
Mount Morrison (California),3750.0,12303,37.561324,-118.858461
Mount Taibai,3750.0,12303,33.955,107.763333
Aiguille de la Grande Sassière,3747.0,12293,45.505,6.999722
Lanín,3747.0,12293,-39.632778,-71.499722
Mount Adams (Washington),3743.0,12280,46.202412,-121.490895
Mount Columbia (Canada),3747.0,12293,52.147222,-117.441667
Mount Adams (Washington),3743.0,12280,46.202412,-121.490895
Teepe Pillar,3739.0,12267,43.735833,-110.800833
Weißkugel,3739.0,12267,46.797778,10.726389
Minarets (California),3735.0,12254,37.661879,-119.178194
Mount Huntington (Alaska),3731.0,12241,62.967222,-150.898611
Mount Rinjani,3726.0,12224,-8.414414,116.459767
Cerro Potosí,3721.0,12208,24.871667,-100.2325
Diamond Peak (Idaho),3719.0,12201,44.141667,-113.082778
Teide,3718.0,12198,28.273056,-16.639444
Asperity ,3716.0,12192,51.390556,-125.221944
Cerro de la Viga,3712.0,12178,25.3637,-100.5571
Delano Peak,3711.0,12175,38.369195,-112.371398
Sahand,3707.0,12162,37.730833,46.5
Monte San Lorenzo,3706.0,12159,-47.591667,-72.306667
Wetterhorn,3701.0,12142,46.63875,8.115528
Mount Valhalla (Alaska),3699.0,12136,61.46,-147.079167
Dent Parrachée,3697.0,12129,45.291944,6.756111
Gunnbjørn Fjeld,3694.0,12119,68.9195,-29.898533
North Twin Peak,3684.0,12087,52.2237,-117.4344
Monte Disgrazia,3678.0,12067,46.269167,9.749167
Semeru,3676.0,12060,-8.107778,112.921944
Les Bans,3669.0,12037,44.848333,6.336111
Cloudveil Dome,3666.0,12028,43.718889,-110.807778
Thor Peak (Wyoming),3666.0,12028,43.830833,-110.795
Medicine Bow Peak,3661.0,12011,41.359997,-106.319997
Hyndman Peak,3660.0,12008,43.749432,-114.131169
Mount Clemenceau,3658.0,12001,52.2475,-117.957778
Mount Frakes,3654.0,11988,-76.8,-117.7
Grande Motte,3653.0,11985,45.411111,6.870278
Sierra Blanca (New Mexico),3652.0,11982,33.374323,-105.80872
Pointe de la Fournache,3642.0,11949,45.2875,6.7525
Buck  (Wyoming),3639.0,11939,43.689444,-110.819444
Mount Nebo (Utah),3636.0,11929,39.821623,-111.759931
Mount Charleston,3632.0,11916,36.271598,-115.695569
Hintere Schwärze,3628.0,11903,46.773333,10.914722
Nez Perce Peak,3627.0,11900,43.719444,-110.796667
Mount Alberta,3619.0,11873,52.287222,-117.476667
Mount Assiniboine,3618.0,11870,50.869444,-115.650833
Tödi,3614.0,11857,46.811111,8.914722
Mount Forbes,3612.0,11850,51.859722,-116.931667
Lautaro ,3607.0,11834,-49.019667,-73.503472
Dôme de la Sache,3601.0,11814,45.511111,6.870556
Castle Peak (Idaho),3601.0,11814,44.039558,-114.585266
Dôme de l'Arpont,3601.0,11814,45.318611,6.742778
Dôme de Chasseforêt,3586.0,11765,45.330556,6.760556
Makra Peak,3586.0,11765,34.573889,73.495278
Sierra Velluda,3585.0,11762,-37.463333,-71.415833
Grand Roc Noir,3582.0,11752,45.330278,6.891667
Mount Timpanogos,3582.0,11752,40.390839,-111.645947
Alvand,3580.0,11745,34.664167,48.486667
Dôme des Nants,3570.0,11713,45.326389,6.741389
Ryan Peak (Idaho),3570.0,11713,43.902351,-114.409576
South Twin Peak,3566.0,11699,52.204167,-117.433333
Olan ,3564.0,11693,44.858889,6.196667
Aiguille de Péclet,3561.0,11683,45.281111,6.623889
Presanella,3558.0,11673,46.22,10.663889
Mount Steere,3558.0,11673,-76.7,-117.8
Monarch ,3555.0,11663,51.901667,-125.875
Monte Leone,3552.0,11654,46.249722,8.110278
Mont Turia,3550.0,11647,45.5325,6.860556
Mount Temple (Alberta),3543.0,11624,51.350556,-116.206667
Disappointment Peak (Wyoming),3541.0,11617,43.733611,-110.793056
Mount Woodring,3533.0,11591,43.803056,-110.793889
Aiguille de Polset,3531.0,11585,45.276389,6.641944
Snow Dome (Canada),3520.0,11549,52.186944,-117.316944
Aiguilles d'Arves,3515.0,11532,45.123056,6.334444
Mount Ellen (Utah),3513.0,11526,38.109707,-110.813766
Mont de Gébroulaz,3511.0,11519,45.274722,6.629167
San Gorgonio ,3505.0,11499,34.099162,-116.824853
Mount Kitchener,3505.0,11499,52.216111,-117.320833
Zuckerhütl,3505.0,11499,46.961667,11.153611
Mount Wister,3502.0,11490,43.701944,-110.816944
Mount Saskatchewan (Yukon),3500.0,11483,60.957778,-140.851111
Mount Tasman,3497.0,11473,-43.566667,170.15
Mount Hungabee,3492.0,11457,51.332778,-116.283889
Mount Athabasca,3491.0,11453,52.180556,-117.201667
Tronador,3491.0,11453,-41.160833,-71.8875
Mount Saint John,3484.0,11430,43.781944,-110.773333
Thabana Ntlenyana,3482.0,11424,-29.466667,29.266667
Pointes du Châtelard,3479.0,11414,45.331667,6.955
Mulhacén,3479.0,11414,37.053333,-3.311389
Mount Berlin,3478.0,11411,-76,-136
Mount Pennell,3478.0,11411,37.956654,-110.790708
Volcán Barú,3475.0,11401,8.808811,-82.542339
Roc des Saints Pères,3470.0,11385,45.278889,6.615833
Mount Brazeau,3470.0,11385,52.551111,-117.354722
Mount Nyiragongo,3470.0,11385,-1.519167,29.254167
Ruby Dome,3470.0,11385,40.621681,-115.475405
Roche de la Muzelle,3465.0,11368,44.931111,6.105278
Mount Victoria (Bow Range),3464.0,11365,51.376944,-116.306667
Abajo Peak,3463.0,11362,37.839531,-109.462438
Eagle Peak (Wyoming),3462.0,11358,44.320833,-110.027778
Doane Peak,3461.0,11355,43.911389,-110.779167
Ranger Peak (Wyoming),3461.0,11355,43.928611,-110.763611
Mount Takahe,3460.0,11352,-76.28,-112.08
Cerro de la Muerte,3451.0,11322,9.566667,-83.75
Furgghorn,3451.0,11322,45.954167,7.699722
Mafadi,3450.0,11319,-29.202333,29.357083
Mount Andromeda (Alberta),3450.0,11319,52.176667,-117.231667
Boulder  (Utah),3449.0,11316,38.124983,-111.500733
Mount Joffre,3449.0,11316,50.528056,-115.206667
Hilgard Peak,3449.0,11316,44.916389,-111.460556
Static Peak,3445.0,11302,43.682778,-110.816111
Thousand Lake ,3444.0,11299,38.416963,-111.47921
Pointe de la Sana,3436.0,11273,45.385278,6.9175
Eagles Rest Peak,3431.0,11257,43.9,-110.759167
Irazú Volcano,3431.0,11257,9.979167,-83.8525
Mount Hood,3429.0,11250,45.373514,-121.695919
Verpeilspitze,3425.0,11237,47.003333,10.805
Deltaform ,3424.0,11234,51.301667,-116.245278
Mount Lefroy,3423.0,11230,51.3625,-116.279722
Pointe de l'Échelle,3422.0,11227,45.269167,6.685
Pointe du Bouchet,3420.0,11220,45.253889,6.604167
Mount Fitzgerald (Nevada),3418.0,11214,40.605483,-115.41061
Bellecôte,3417.0,11211,45.492778,6.782222
Crazy Peak,3417.0,11211,46.018056,-110.276667
Emi Koussi,3415.0,11204,19.7925,18.546389
Piz Linard,3410.0,11188,46.798889,10.071389
Mount Woolley,3405.0,11171,52.296667,-117.423333
Aneto,3404.0,11168,42.632222,0.657778
Lone  (Montana),3404.0,11168,45.278056,-111.450278
Fluchthorn,3399.0,11152,46.890889,10.227417
Grand Bec,3398.0,11148,45.423611,6.752778
Rockchuck Peak,3397.0,11145,43.788333,-110.767778
Veleta (Sierra Nevada),3396.0,11142,37.056667,-3.365833
Mount Hector (Alberta),3394.0,11135,51.573333,-116.258333
Piz Platta,3392.0,11129,46.486972,9.561722
Telescope Peak,3392.0,11129,36.169816,-117.089198
Champagne Castle,3377.0,11079,-29.083333,29.316667
Fitz Roy,3375.0,11073,-49.271278,-73.043222
Mount Spurr,3374.0,11070,61.299722,-152.251389
Pointe du Vallonnet,3372.0,11063,45.417222,6.760833
Mammoth ,3371.0,11060,37.630626,-119.032626
Fründenhorn,3369.0,11053,46.476944,7.7575
Pointe Rénod,3368.0,11050,45.245833,6.605278
Traverse Peak,3368.0,11050,43.868056,-110.794722
Mount Edith Cavell,3363.0,11033,52.668333,-118.056667
Dôme des Sonnailles,3361.0,11027,45.345833,6.745556
Valvelspitze,3360.0,11024,46.768333,10.670556
Mount Etna,3357.0,11014,37.755,14.995
Mount Agepsta,3357.0,11014,43.54833,40.48056
Mount Munday,3356.0,11010,51.328611,-125.216111
Pointe de Claret,3355.0,11007,45.341944,6.971111
Monte Perdido,3355.0,11007,42.666667,0.033333
Electric Peak,3343.0,10968,45.005278,-110.8375
Marmolada,3343.0,10968,46.434722,11.850833
Mount Saskatchewan (Alberta),3342.0,10965,52.099722,-117.093333
Ward  (Nevada),3333.0,10935,39.100229,-114.920588
Pointe de Méan Martin,3330.0,10925,45.367222,6.99
Dôme de Polset,3326.0,10912,45.276389,6.640278
Cathedral Peak (California),3326.0,10912,37.847829,-119.405621
Raynolds Peak,3325.0,10909,43.870833,-110.825556
Rolling Thunder ,3324.0,10906,43.890556,-110.810556
Mount Hampton,3323.0,10902,-76.483333,-125.8
Dôme des Pichères,3319.0,10889,45.491667,6.798333
Grand Roc,3316.0,10879,45.265556,6.688056
Giant's Castle,3315.0,10876,-29.333333,29.483333
Sunwapta Peak,3315.0,10876,52.348611,-117.275
Piz Buin,3312.0,10866,46.845556,10.119722
Mount Ball,3311.0,10863,51.156389,-116.006389
Piz Badile,3308.0,10853,46.294722,9.586111
Ağ Dağ,3306.0,10846,46.294722,9.586111
San Jacinto Peak,3302.0,10833,33.814712,-116.679438
Didi Abuli,3301.0,10830,41.438056,43.645833
Silberhorn (New Zealand),3300.0,10827,-43.566667,170.15
Bivouac Peak,3299.0,10823,43.868889,-110.784167
Mount Wilbur (Alaska),3298.0,10820,58.74,-137.318611
Monte Argentera,3297.0,10817,44.177778,7.305556
Mount Rose (Nevada),3287.0,10784,39.343778,-119.917889
Mount Samsari,3285.0,10778,41.5356,43.6708
Roche Chevrière,3281.0,10764,45.293333,6.721944
Habicht,3277.0,10751,47.043889,11.289722
Thompson Peak (Idaho),3277.0,10751,44.141533,-115.009969
Mount Chephren,3266.0,10715,51.840278,-116.683056
Pointe de Thorens,3266.0,10715,45.264722,6.609444
Mount Cramer,3266.0,10715,44.011016,-114.98258
Toussidé,3265.0,10712,21.03,16.45
Antelao,3264.0,10709,46.4525,12.260556
Mont Pelve,3261.0,10699,45.356667,6.781389
Mount Stanley Baldwin,3256.0,10682,52.824444,-119.605833
Sandia s,3255.0,10679,35.208889,-106.446944
Épaule du Bouchet,3250.0,10663,45.259444,6.611389
Mount Smythe,3246.0,10650,52.356111,-117.480833
Wildstrubel,3243.0,10640,46.400278,7.528611
"Williams Peak (Custer County, Idaho)",3242.0,10636,44.152406,-115.005919
Mount Hope (Palmer Land),3239.0,10627,-69.759722,-64.555278
Titlis,3238.0,10623,46.7725,8.437222
Owl Peak,3235.0,10614,43.977778,-110.794722
Mount Mackenzie King,3234.0,10610,52.775806,-119.750806
Pointe des Buffettes,3233.0,10607,45.365556,7.007222
Lisenser Spitze,3230.0,10597,47.083333,11.1
Mount Terror (Antarctica),3230.0,10597,-77.516667,168.533333
Aiguille Rouge,3227.0,10587,45.551944,6.848611
Monte Civetta,3220.0,10564,46.38,12.053333
Symmetry Spire,3219.0,10561,43.773611,-110.765556
Glacier Peak,3213.0,10541,48.112514,-121.113805
Pointe du Dard,3212.0,10538,45.363889,6.765556
Mount Binalud,3211.0,10535,36.426389,58.849167
Pointe de la Réchasse,3206.0,10518,45.373333,6.801944
"Mount Jefferson (Madison County, Montana)",3204.0,10512,45.602778,-112.005833
Mount Jefferson (Oregon),3199.0,10495,44.674301,-121.799574
Dreiländerspitze,3197.0,10489,46.851111,10.144778
Mount Kita,3193.0,10476,35.674167,138.236667
Mount Hotakadake,3190.0,10466,36.289167,137.648056
Mount Cleveland (Montana),3190.0,10466,48.924875,-113.848197
Mount Aino,3189.0,10463,35.646111,138.228333
Lassen Peak,3189.0,10463,40.488173,-121.505008
Mount Galatea,3185.0,10449,50.839722,-115.273889
Rendezvous ,3185.0,10449,43.597222,-110.870556
Saviers Peak,3182.0,10440,43.822013,-114.713114
Mount Yari,3180.0,10433,36.341944,137.6475
Kendrick Peak,3178.0,10427,35.408078,-111.850989
Kendrick Peak,3178.0,10427,35.408078,-111.850989
Parícutin,3170.0,10400,19.493056,-102.251111
Mount Aylmer,3162.0,10374,51.32388,-115.43333
Three Sisters (Oregon),3157.0,10358,44.103449,-121.769206
Stanley Peak (Ball Range),3155.0,10351,51.170556,-116.054167
Jøkulkyrkja ,3148.0,10328,-71.883333,6.666667
Pica d'Estats,3143.0,10312,42.667222,1.397222
Fansipan,3143.0,10312,22.303333,103.775
Mount Warusawa,3141.0,10305,35.500833,138.1825
Gray Peak (Wyoming),3140.0,10302,44.944722,-110.880278
Mount Heyburn,3139.0,10299,44.100944,-114.972722
Mount Washburn,3122.0,10243,44.797778,-110.434444
Mount Collie,3116.0,10223,51.617222,-116.591667
Mount Siple,3110.0,10203,-73.433333,-126.666667
Pir Chinasi,3110.0,10203,34.3891,73.5499
Mount Redoubt,3108.0,10197,60.485278,-152.743056
Mount Babel (Alberta),3101.0,10174,51.306389,-116.163333
Mount Emei,3099.0,10167,29.519722,103.3325
Pico Duarte,3098.0,10164,19.023056,-70.998056
Trapper Peak (Montana),3096.0,10157,45.889919,-114.297588
Storm  (Misty Range),3095.0,10154,50.586944,-114.939722
Mount Blackmore,3094.0,10151,45.444444,-111.002778
Mount Stimson,3091.0,10141,48.514167,-113.610278
Mol Len,3088.0,10131,25.494167,94.751667
Qurnat as Sawda',3088.0,10131,34.3,36.116667
Mount Richardson (Alberta),3086.0,10125,51.495833,-116.1225
Kintla Peak,3079.0,10102,48.943889,-114.171111
Mount Moulton,3078.0,10098,-76.05,-135.133333
Smoky Dome,3077.0,10095,43.493236,-114.936256
Three Sisters (Oregon),3074.0,10085,44.103449,-121.769206
Piton des Neiges,3069.0,10069,-21.098333,55.480833
Mount San Antonio,3068.0,10066,34.288893,-117.646722
Mount Ontake,3067.0,10062,35.892778,137.480278
Mount Jackson (Montana),3064.0,10052,48.600556,-113.721944
Three Sisters (Oregon),3062.0,10046,44.103449,-121.769206
Mount Wutai,3061.0,10043,39.079167,113.564722
Nyamuragira,3058.0,10033,-1.408,29.2
Haleakalā,3057.0,10030,20.709722,-156.253333
Crowfoot  (Alberta),3055.0,10023,51.625,-116.433333
Mount Chester,3054.0,10020,50.807222,-115.263333
Mount Siyeh,3052.0,10013,48.729167,-113.649722
Mount Merritt,3049.0,10003,48.870278,-113.786389
Cerro de Coxóm,3045.0,9990,14.8875,-91.397778
Parseierspitze,3036.0,9961,47.174444,10.478333
Mount Senjō,3033.0,9951,35.72,138.183333
Mount Aspiring / Tititea,3033.0,9951,-44.383333,168.716667
Kinnerly Peak,3031.0,9944,48.956111,-114.165278
Mount Agung,3031.0,9944,-8.340833,115.503333
Mount McArthur (British Columbia),3021.0,9911,51.540556,-116.596667
